Date,Total Portfolio Value
2020-10-07,5934.7919789719335
2020-09-30,5530.660392827669
2020-09-23,5380.836029054611
2020-09-16,5689.781235438113
2020-09-09,5683.571418964962
2020-09-02,5844.84655756566
2020-08-26,5916.616211127817
2020-08-19,5606.872372671145
2020-08-12,5665.819323829124
2020-08-05,5568.188657245254
2020-07-29,5628.427423699612
2020-07-22,5770.519807364415
2020-07-15,5692.656486698063
2020-07-08,5558.713877969436
2020-07-01,5489.881238263893
2020-06-24,5454.403523434678
2020-06-17,5581.794777766005
2020-06-10,6886.585026858746
2020-06-03,6814.090398177177
2020-05-27,6507.986822579948
2020-05-20,6338.445025930871
2020-05-13,5947.57389014179
2020-05-06,5969.280480548115
2020-04-29,6321.754954954564
2020-04-22,6003.355865265666
2020-04-15,5924.097875610852
2020-04-08,5945.696815961179
2020-04-01,5380.292165696301
2020-03-25,5497.200997143399
2020-03-18,5031.135590577479
2020-03-11,6081.314627835796
2020-03-04,7068.722741510766
2020-02-26,7070.591952088654
2020-02-19,7760.031056933712
2020-02-12,7814.01603505614
2020-02-05,7765.018207158583
2020-01-29,7551.366245400063
2020-01-22,7797.848543088793
2020-01-15,7714.413560572211
2020-01-08,7645.455426609624
2020-01-01,0.0
2019-12-25,423.5015161229163
2019-12-18,7609.565060644491
2019-12-11,7415.852403261953
2019-12-04,7361.4043208250505
2019-11-27,7433.678517048509
2019-11-20,7343.123752894724
2019-11-13,7292.536267513975
2019-11-06,7160.137675915543
2019-10-30,7245.957734811801
2019-10-23,7258.487146225847
2019-10-16,7259.943092979355
2019-10-09,6905.3214561422765
2019-10-02,6879.352840703922
2019-09-25,7167.398855116628
2019-09-18,7170.006196758511
2019-09-11,7150.8253309243955
2019-09-04,6898.750485209938
2019-08-28,6809.566897284842
2019-08-21,6794.1796269204615
2019-08-14,6639.82955720007
2019-08-07,6819.575110548223
2019-07-31,6909.649675221351
2019-07-24,7226.077256088007
2019-07-17,7128.623658989433
2019-07-10,7089.7209551687
2019-07-03,7101.753618505076
2019-06-26,6830.759956181188
2019-06-19,6872.659990803296
2019-06-12,6841.568726159123
2019-06-05,6815.281685337434
2019-05-29,6587.957637076086
2019-05-22,6779.569451604981
2019-05-15,6832.030838570002
2019-05-08,6922.819806891848
2019-05-01,5869.507027535404
2019-04-24,7182.476043945318
2019-04-17,7199.290465194437
2019-04-10,6561.991788520439
2019-04-03,6589.466069882564
2019-03-27,6417.4542384826555
2019-03-20,6584.903710411173
2019-03-13,6479.540867256327
2019-03-06,6543.961162464717
2019-02-27,6681.028300283446
2019-02-20,6614.952170417784
2019-02-13,6497.227893071098
2019-02-06,6503.1442651022835
2019-01-30,4808.405971025858
2019-01-23,6393.102044610789
2019-01-16,6292.51431823031
2019-01-09,6196.1944703768895
2019-01-02,5909.826699164956
2018-12-26,3036.1017710554515
2018-12-19,5872.856947192497
2018-12-12,6078.2245053261195
2018-12-05,2970.272994237212
2018-11-28,6179.399207224633
2018-11-21,5995.5251743004965
2018-11-14,6156.382729586163
2018-11-07,6282.797568808239
2018-10-31,6152.9339239524115
2018-10-24,6017.540341620248
2018-10-17,6391.353992064309
2018-10-10,6372.7161913824075
2018-10-03,5853.568158977632
2018-09-26,6935.783769028422
2018-09-19,6910.046812018561
2018-09-12,6780.370492167591
2018-09-05,6886.017397292007
2018-08-29,7047.861338802427
2018-08-22,6914.771363033249
2018-08-15,6814.94653507463
2018-08-08,7039.931275208294
2018-08-01,7003.9053193623295
2018-07-25,7058.22187552035
2018-07-18,7124.2331409792205
2018-07-11,6933.680072524805
2018-07-04,3602.4664773129757
2018-06-27,6876.1042894126185
2018-06-20,7103.730918790929
2018-06-13,7214.372219940941
2018-06-06,7191.380067985767
2018-05-30,6990.308451005369
2018-05-23,7070.990269219182
2018-05-16,7089.617596336771
2018-05-09,7010.854657627133
2018-05-02,6833.248554314721
2018-04-25,6585.197487895244
2018-04-18,6721.367628922688
2018-04-11,6616.282020696637
2018-04-04,4041.073809942128
2018-03-28,4114.572377099594
2018-03-21,4247.977245879663
2018-03-14,4246.511641228941
2018-03-07,4226.269301187618
2018-02-28,4165.27999787669
2018-02-21,4183.746788742776
2018-02-14,4104.473974791628
2018-02-07,4120.016150829915
2018-01-31,4422.807403058642
2018-01-24,4521.012816137272
2018-01-17,4465.80958550168
2018-01-10,4439.063584565991
2018-01-03,4341.158671031492
2017-12-27,4290.106079596569
2017-12-20,4237.723721466111
