Company Name,Yearly Performance (%)
LLoyds Banking Group,-1.02
BlackRock Inc.,1.26
Baxter,-44.64
Americold,5.83
Salesforce,20.92
Disney,-18.87
Eestee Lauder,-26.97
Easy Jet,-6.92
Games Workshop,30.24
Granite Reit,-20.92
Infineon Technologies,30.74
Mercado Libre,65.04
Next Era Energy,-4.21
Pfizer,-27.4
Total S.A.,-2.9
Block Inc.,-24.92
Total Portfolio,
